# Chinese Character to Pinyin Dictionary (Sample)
# Format: CHARACTER[TAB]PINYIN1,PINYIN2,...
# This is a sample dictionary for development/testing
# Based on pypinyin-data (MIT License)

# Common single characters
一	yi1,yi2,yi4
二	er4
三	san1
四	si4
五	wu3
六	liu4
七	qi1
八	ba1
九	jiu3
十	shi2
百	bai3
千	qian1
万	wan4
人	ren2
大	da4,dai4
小	xiao3
中	zhong1,zhong4
国	guo2
家	jia1,jie1
好	hao3,hao4
你	ni3
我	wo3
他	ta1
她	ta1
们	men5
的	de5,di1,di2,di4
是	shi4
不	bu4,bu2
了	le5,liao3
在	zai4
有	you3,you4
这	zhe4,zhei4
那	na4,nei4
个	ge4,ge5
上	shang4,shang3
下	xia4
来	lai2
去	qu4
说	shuo1,shui4,yue4
话	hua4
做	zuo4
作	zuo4,zuo1,zuo2
天	tian1
地	di4,de5
年	nian2
月	yue4
日	ri4
时	shi2
分	fen1,fen4
秒	miao3
今	jin1
明	ming2
昨	zuo2
前	qian2
后	hou4
左	zuo3
右	you4
东	dong1
西	xi1
南	nan2
北	bei3
京	jing1
海	hai3
学	xue2
生	sheng1
老	lao3
师	shi1
校	xiao4
文	wen2
化	hua4,hua1
书	shu1
写	xie3
读	du2,dou4
看	kan4,kan1
听	ting1
说	shuo1
讲	jiang3
语	yu3
言	yan2
英	ying1
美	mei3
法	fa3,fa4
德	de2
意	yi4
俄	e2
韩	han2
本	ben3
和	he2,he4,huo2,huo4,hu2
与	yu3,yu4,yu2
或	huo4
但	dan4
因	yin1
为	wei4,wei2
所	suo3
以	yi3
就	jiu4
都	dou1,du1
也	ye3
还	hai2,huan2
很	hen3
太	tai4
非	fei1
常	chang2
真	zhen1
正	zheng4,zheng1
可	ke3,ke4
能	neng2
会	hui4,kuai4
要	yao4,yao1
想	xiang3
用	yong4
给	gei3,ji3
让	rang4
被	bei4
把	ba3,ba4
从	cong2
到	dao4
对	dui4
向	xiang4
跟	gen1
同	tong2
共	gong4
每	mei3
些	xie1
多	duo1
少	shao3,shao4
几	ji3,ji1
何	he2
什	shen2,shi2
么	me5,mo2,yao1
怎	zen3
样	yang4
谁	shui2,shei2
哪	na3,nei3,na5
里	li3
边	bian1
面	mian4
头	tou2,tou5
手	shou3
脚	jiao3,jue2
心	xin1
眼	yan3
耳	er3
口	kou3
鼻	bi2
身	shen1
体	ti3
高	gao1
长	chang2,zhang3
短	duan3
粗	cu1
细	xi4
胖	pang4
瘦	shou4
红	hong2
黄	huang2
蓝	lan2
绿	lv4
白	bai2
黑	hei1
新	xin1
旧	jiu4
早	zao3
晚	wan3
快	kuai4
慢	man4
远	yuan3
近	jin4
男	nan2
女	nv3
父	fu4,fu3
母	mu3
子	zi3,zi5
儿	er2
爱	ai4
情	qing2
钱	qian2
水	shui3
火	huo3
风	feng1
雨	yu3
雪	xue3
云	yun2
电	dian4
话	hua4
脑	nao3
机	ji1
车	che1
路	lu4
街	jie1
